Process,Time,Vibration,Current,Date
1,오후 4:22:23.0,76.20403500015834,1.513,2021-09-24
1,오후 4:22:28.0,75.87178422074807,1.517,2021-09-24
1,오후 4:22:33.0,76.49957940787253,1.726,2021-09-24
1,오후 4:22:38.0,74.86391347156295,1.718,2021-09-24
1,오후 4:22:43.0,75.9081485396546,1.732,2021-09-24
1,오후 4:22:48.0,74.66209655792429,1.695,2021-09-24
1,오후 4:22:53.0,74.20403500015834,1.718,2021-09-24
1,오후 4:22:58.0,73.87178422074807,1.69,2021-09-24
1,오후 4:23:03.0,75.49957940787253,1.68,2021-09-24
1,오후 4:23:08.0,73.86391347156295,1.673,2021-09-24
1,오후 4:23:13.0,75.9081485396546,1.71,2021-09-24
1,오후 4:23:18.0,75.66209655792429,1.673,2021-09-24
1,오후 4:23:23.0,72.08489761472396,1.718,2021-09-24
1,오후 4:23:28.0,72.47081535284565,1.713,2021-09-24
1,오후 4:23:33.0,69.84317473479867,1.632,2021-09-24
1,오후 4:23:38.0,71.18546553761685,1.64,2021-09-24
1,오후 4:23:43.0,70.55671042933152,1.581,2021-09-24
1,오후 4:23:48.0,70.93957562396797,1.611,2021-09-24
1,오후 4:23:53.1,68.04198315231801,1.597,2021-09-24
1,오후 4:23:58.1,71.31247367223635,1.606,2021-09-24
1,오후 4:24:03.1,68.53366359223965,1.54,2021-09-24
1,오후 4:24:08.1,68.74042366970423,1.615,2021-09-24
1,오후 4:24:13.1,71.04518510357609,1.551,2021-09-24
1,오후 4:24:18.1,70.47249049518311,1.556,2021-09-24
1,오후 4:24:23.1,67.01093857044455,1.609,2021-09-24
1,오후 4:24:28.1,66.19333628680197,1.596,2021-09-24
1,오후 4:24:33.1,73.10268833667287,1.6471062840796669,2021-09-24
1,오후 4:24:38.1,69.3394548018018,1.498,2021-09-24
1,오후 4:24:43.1,69.49933688835523,1.523,2021-09-24
1,오후 4:24:48.1,68.81608582210924,1.569,2021-09-24
1,오후 4:24:53.1,64.04198315231801,1.573,2021-09-24
1,오후 4:24:58.1,64.31247367223635,1.558,2021-09-24
1,오후 4:25:03.1,64.53366359223965,1.449,2021-09-24
1,오후 4:25:08.1,64.74042366970423,1.455,2021-09-24
1,오후 4:25:13.1,67.04518510357609,1.46,2021-09-24
1,오후 4:25:18.1,65.47249049518311,1.465,2021-09-24
2,오후 4:25:45.8,75.20403500015834,1.517,2021-09-24
